orias,siren,nom
504641820,504641820,
501249288,501249288,
504977372,504977372,
500083902,500083902,
504130923,504130923,
497883066,497883066,
501583496,501583496,
381609783,381609783,
500511373,500511373,
494473838,494473838,
501767495,501767495,
433952918,433952918,
438675134,438675134,
499207157,499207157,
489412437,489412437,
501704977,501704977,
412471914,412471914,
491434247,491434247,
692016371,692016371,
500942644,500942644,
499204816,499204816,
478732936,478732936,
494007677,494007677,
499310126,499310126,
489331447,489331447,
332507961,332507961,
501967103,501967103,
453712929,453712929,
493912604,493912604,
501822605,501822605,
479372625,479372625,
503222374,503222374,
453860694,453860694,
502649999,502649999,
451939102,451939102,
501582308,501582308,
502701667,502701667,
504411844,504411844,
501552640,501552640,
504822057,504822057,
500502307,500502307,
431617968,431617968,
484706270,484706270,
502658248,502658248,
502975501,502975501,
502488190,502488190,
503492928,503492928,
504812835,504812835,
450043716,450043716,
353259922,353259922,
421633397,421633397,
501513840,501513840,
501710461,501710461,
500820089,500820089,
501583686,501583686,
498835990,498835990,
477883771,477883771,
502374184,502374184,
504080482,504080482,
503756371,503756371,
502986425,502986425,
504370198,504370198,
503023111,503023111,
500332812,500332812,
503802480,503802480,
326127784,326127784,
499424174,499424174,
449550896,449550896,
494484223,494484223,
504303264,504303264,
501498232,501498232,
499514115,499514115,
444706329,444706329,
501798656,501798656,
503448011,503448011,
443624978,443624978,
493697841,493697841,
482526225,482526225,
518530720,518530720,
445147614,445147614,
433631512,433631512,
503577207,503577207,
502213283,502213283,
501458517,501458517,
502733371,502733371,
503102162,503102162,
439317140,439317140,
439724725,439724725,
499149722,499149722,
504462177,504462177,
502189400,502189400,
494410905,494410905,
500138789,500138789,
502468416,502468416,
502835572,502835572,
400288353,400288353,
442095659,442095659,
502806805,502806805,
500790423,500790423,
501663058,501663058,
352045454,352045454,
503055865,503055865,
497784454,497784454,
437529241,437529241,
505104364,505104364,
505046631,505046631,
503109589,503109589,
452873847,452873847,
502945744,502945744,
424290427,424290427,
398142364,398142364,
500677828,500677828,
447891334,447891334,
503959298,503959298,
503009193,503009193,
501262620,501262620,
504405978,504405978,
501837611,501837611,
501120901,501120901,
493673545,493673545,
503955031,503955031,
484479043,484479043,
488296120,488296120,
502932148,502932148,
501924302,501924302,
502776164,502776164,
503659732,503659732,
494467939,494467939,
493791701,493791701,
502026255,502026255,
502397524,502397524,
504315508,504315508,
503963597,503963597,
498097377,498097377,
450354220,450354220,
504274077,504274077,
507666931,507666931,
503867715,503867715,
502246317,502246317,
338318470,338318470,
501103337,501103337,
440125490,440125490,
439695677,439695677,
423548411,423548411,
501733687,501733687,
502487473,502487473,
502543366,502543366,
381534163,381534163,
499325447,499325447,
377827415,377827415,
503600520,503600520,
440756963,440756963,
502427297,502427297,
498423698,498423698,
488472754,488472754,
422729418,422729418,
504544289,504544289,
502380983,502380983,
503243230,503243230,
501999544,501999544,
408064087,408064087,
433884236,433884236,
493039705,493039705,
503744203,503744203,
501273502,501273502,
389145251,389145251,
503973166,503973166,
491930111,491930111,
484230271,484230271,
489653279,489653279,
507583912,507583912,
504433103,504433103,
504050089,504050089,
484733829,484733829,
499088615,499088615,
479816845,479816845,
501491526,501491526,
384049185,384049185,
393721568,393721568,
504616608,504616608,
702052994,702052994,
493323422,493323422,
504019878,504019878,
348444456,348444456,
504879685,504879685,
508200300,508200300,
508211554,508211554,
434989968,434989968,
503686677,503686677,
503517997,503517997,
483354759,483354759,
494916216,494916216,
504514787,504514787,
480188176,480188176,
507429140,507429140,
338464191,338464191,
504565102,504565102,
504185463,504185463,
500502851,500502851,
504270794,504270794,
739501906,739501906,
482238441,482238441,
504379496,504379496,
504745225,504745225,
487653156,487653156,
498663962,498663962,
503909178,503909178,
424563948,424563948,
494840473,494840473,
502282346,502282346,
389410242,389410242,
504814849,504814849,
502714710,502714710,
503313553,503313553,
408790608,408790608,
505199257,505199257,
504732868,504732868,
504118829,504118829,
441686516,441686516,
504094046,504094046,
503491250,503491250,
505016311,505016311,
503659146,503659146,
503710139,503710139,
507455723,507455723,
499143618,499143618,
508774726,508774726,
507736619,507736619,
507741916,507741916,
505073049,505073049,
507542629,507542629,
504711557,504711557,
402573109,402573109,
507985562,507985562,
507526176,507526176,
502881394,502881394,
501185995,501185995,
503243602,503243602,
507551125,507551125,
509409587,509409587,
504789371,504789371,
353827827,353827827,
507521045,507521045,
509504312,509504312,
483113213,483113213,
493717821,493717821,
504444431,504444431,
501995021,501995021,
509684130,509684130,
509595724,509595724,
508957206,508957206,
504813536,504813536,
504676446,504676446,
504071663,504071663,
503852915,503852915,
499314334,499314334,
508581113,508581113,
492976915,492976915,
493455042,493455042,
503187825,503187825,
505239087,505239087,
505192187,505192187,
413360181,413360181,
498705359,498705359,
494434103,494434103,
453400921,453400921,
482595055,482595055,
509378220,509378220,
505206748,505206748,
509315644,509315644,
509360632,509360632,
493168678,493168678,
433843257,433843257,
494604309,494604309,
434650727,434650727,
509010989,509010989,
509041711,509041711,
