orias,siren,nom
399585355,399585355,
399330331,399330331,
480044197,480044197,
402927362,402927362,
480257435,480257435,
480245463,480245463,
480860139,480860139,
482833522,482833522,
481861615,481861615,
481700193,481700193,
481700201,481700201,
481991610,481991610,
482473618,482473618,
482222395,482222395,
482304086,482304086,
339691289,339691289,
401386610,401386610,
401088018,401088018,
401571518,401571518,
483780847,483780847,
484833496,484833496,
488019365,488019365,
488119553,488119553,
487797029,487797029,
487441982,487441982,
488002601,488002601,
432027886,432027886,
483321279,483321279,
439869587,439869587,
352256424,352256424,
394553283,394553283,
302958491,302958491,
452196751,452196751,
423585066,423585066,
444837702,444837702,
873800023,873800023,
314120999,314120999,
481974665,481974665,
419620182,419620182,
387523137,387523137,
389892456,389892456,
484062286,484062286,
434651246,434651246,
552120222,552120222,
390709491,390709491,
419917034,419917034,
422391698,422391698,
776983546,776983546,
388972226,388972226,
492536842,492536842,
321210106,321210106,
443503784,443503784,
390898476,390898476,
552002313,552002313,
414409979,414409979,
451145189,451145189,
303477319,303477319,
443450036,443450036,
477611057,477611057,
487625436,487625436,
385057427,385057427,
440714103,440714103,
493657621,493657621,
454047663,454047663,
377943998,377943998,
479594012,479594012,
481456796,481456796,
394157085,394157085,
379100829,379100829,
429866924,429866924,
390208627,390208627,
493390975,493390975,
954507976,954507976,
482942794,482942794,
400868188,400868188,
334670684,334670684,
560801300,560801300,
775616162,775616162,
452279961,452279961,
487631673,487631673,
662042449,662042449,
348504572,348504572,
350095451,350095451,
352862346,352862346,
392640090,392640090,
488352980,488352980,
438859118,438859118,
331346361,331346361,
391007457,391007457,
441704012,441704012,
418963419,418963419,
478834930,478834930,
494434111,494434111,
399207901,399207901,
484602065,484602065,
492574819,492574819,
351058151,351058151,
390516185,390516185,
400197430,400197430,
327236170,327236170,
352189880,352189880,
403116114,403116114,
492927371,492927371,
776916207,776916207,
409076908,409076908,
424264281,424264281,
444286017,444286017,
492888805,492888805,
480312446,480312446,
444836662,444836662,
437549694,437549694,
420732604,420732604,
778134601,778134601,
351820634,351820634,
777903816,777903816,
493442826,493442826,
482656147,482656147,
350562468,350562468,
413901752,413901752,
484868948,484868948,
435038955,435038955,
451223226,451223226,
855201018,855201018,
392448155,392448155,
429023443,429023443,
775590847,775590847,
401626684,401626684,
410909592,410909592,
319579876,319579876,
380386854,380386854,
542820352,542820352,
312617046,312617046,
542097902,542097902,
323317032,323317032,
449664689,449664689,
484304696,484304696,
487647182,487647182,
973507486,973507486,
492216791,492216791,
493154553,493154553,
445200488,445200488,
481365575,481365575,
424191310,424191310,
400940367,400940367,
490347341,490347341,
450481403,450481403,
399181924,399181924,
379494172,379494172,
442995411,442995411,
388156499,388156499,
487531832,487531832,
449877224,449877224,
321373581,321373581,
492557152,492557152,
487443210,487443210,
488749979,488749979,
324504810,324504810,
546380197,546380197,
399973825,399973825,
478715774,478715774,
411673106,411673106,
417981388,417981388,
491783064,491783064,
438424384,438424384,
343588521,343588521,
542029848,542029848,
437876261,437876261,
421673336,421673336,
549800373,549800373,
493333389,493333389,
491608865,491608865,
490838661,490838661,
339537144,339537144,
411314172,411314172,
964506562,964506562,
477762686,477762686,
448286229,448286229,
326204906,326204906,
440933927,440933927,
443647912,443647912,
776180242,776180242,
419772439,419772439,
421100645,421100645,
306691247,306691247,
722000890,722000890,
420379836,420379836,
478076748,478076748,
452826670,452826670,
322869637,322869637,
393095757,393095757,
345048243,345048243,
492090022,492090022,
411453244,411453244,
399354810,399354810,
493270763,493270763,
428633408,428633408,
402121958,402121958,
491776589,491776589,
384077525,384077525,
389984279,389984279,
325307106,325307106,
453495947,453495947,
777456179,777456179,
313536898,313536898,
493565758,493565758,
379020787,379020787,
