orias,siren,nom
315964700,315964700,
323077990,323077990,
328286257,328286257,
378768634,378768634,
315998427,315998427,
401172564,401172564,
389704735,389704735,
382407534,382407534,
349035204,349035204,
418008645,418008645,
423909951,423909951,
383333432,383333432,
383908936,383908936,
347611055,347611055,
353505886,353505886,
300521465,300521465,
390786390,390786390,
387936388,387936388,
324106962,324106962,
350171831,350171831,
348281726,348281726,
343103594,343103594,
415307578,415307578,
391586898,391586898,
410469258,410469258,
424113645,424113645,
397746678,397746678,
349278531,349278531,
395375496,395375496,
57803660,57803660,
421330630,421330630,
421455593,421455593,
317218188,317218188,
380101659,380101659,
328697693,328697693,
418923900,418923900,
351661210,351661210,
347826661,347826661,
421259797,421259797,
309954279,309954279,
385406087,385406087,
411356660,411356660,
402029730,402029730,
389974114,389974114,
380535047,380535047,
390728319,390728319,
430041541,430041541,
311794697,311794697,
431767078,431767078,
335229548,335229548,
343906996,343906996,
414694414,414694414,
382193118,382193118,
314407180,314407180,
402966360,402966360,
392715215,392715215,
344216817,344216817,
394728398,394728398,
379210081,379210081,
322322611,322322611,
388123069,388123069,
384629663,384629663,
333504785,333504785,
332713361,332713361,
389261801,389261801,
330540907,330540907,
351646245,351646245,
420431389,420431389,
310710249,310710249,
398618066,398618066,
399497395,399497395,
352937247,352937247,
383983905,383983905,
472503010,472503010,
542005061,542005061,
303302145,303302145,
345083588,345083588,
419785068,419785068,
341539815,341539815,
398530162,398530162,
387594963,387594963,
378739064,378739064,
407871706,407871706,
393468301,393468301,
602050700,602050700,
419768494,419768494,
408554293,408554293,
349499558,349499558,
57808412,57808412,
428140180,428140180,
377741798,377741798,
392293429,392293429,
403101363,403101363,
411262256,411262256,
389359563,389359563,
420146854,420146854,
328768858,328768858,
412031254,412031254,
391575552,391575552,
393466446,393466446,
421040544,421040544,
391559135,391559135,
394412381,394412381,
378452247,378452247,
335171096,335171096,
692031826,692031826,
413990102,413990102,
380348144,380348144,
402102461,402102461,
410069066,410069066,
320736432,320736432,
423751775,423751775,
950387548,950387548,
415092733,415092733,
418741005,418741005,
405139635,405139635,
417507464,417507464,
429035686,429035686,
388459919,388459919,
552061632,552061632,
380873034,380873034,
351857669,351857669,
398837492,398837492,
393357116,393357116,
414357889,414357889,
424437804,424437804,
326863958,326863958,
402880470,402880470,
411446305,411446305,
344043658,344043658,
400088324,400088324,
338334642,338334642,
572174415,572174415,
420507907,420507907,
414783589,414783589,
390661460,390661460,
349044404,349044404,
340344670,340344670,
419515804,419515804,
403471030,403471030,
402881304,402881304,
341232148,341232148,
399121433,399121433,
409131026,409131026,
381150861,381150861,
380310631,380310631,
398874222,398874222,
300285285,300285285,
399786953,399786953,
379802150,379802150,
394860860,394860860,
420746133,420746133,
379388143,379388143,
410573190,410573190,
438599698,438599698,
420744450,420744450,
418707055,418707055,
392242079,392242079,
389002403,389002403,
423158237,423158237,
340792134,340792134,
407718238,407718238,
379500739,379500739,
400664140,400664140,
399784081,399784081,
410514624,410514624,
408714020,408714020,
784339004,784339004,
391690211,391690211,
399653476,399653476,
397914441,397914441,
413984212,413984212,
388863037,388863037,
432068294,432068294,
413169418,413169418,
388850422,388850422,
419760509,419760509,
418039756,418039756,
344154802,344154802,
401649140,401649140,
393231212,393231212,
408171130,408171130,
414732164,414732164,
432516730,432516730,
389289018,389289018,
404239832,404239832,
431823715,431823715,
421923277,421923277,
414894832,414894832,
411415565,411415565,
378966485,378966485,
317526176,317526176,
397545443,397545443,
378767156,378767156,
588800334,588800334,
394887376,394887376,
410413678,410413678,
776672859,776672859,
401041009,401041009,
422989533,422989533,
430271130,430271130,
429177041,429177041,
418691580,418691580,
327139192,327139192,
402996433,402996433,
379378805,379378805,
434211462,434211462,
351529367,351529367,
410334593,410334593,
352702823,352702823,
399303007,399303007,
414071779,414071779,
418936951,418936951,
333433191,333433191,
399366665,399366665,
410717094,410717094,
414572248,414572248,
432320745,432320745,
342183928,342183928,
432400661,432400661,
420914848,420914848,
391219664,391219664,
405211228,405211228,
398369140,398369140,
682019138,682019138,
349869297,349869297,
413851353,413851353,
334129285,334129285,
307737106,307737106,
339041535,339041535,
412039018,412039018,
428965875,428965875,
379160070,379160070,
402626923,402626923,
433569241,433569241,
382981009,382981009,
400486874,400486874,
339799520,339799520,
433670932,433670932,
431946714,431946714,
434904637,434904637,
433671930,433671930,
394535397,394535397,
330631748,330631748,
313328510,313328510,
434907036,434907036,
425132255,425132255,
318502747,318502747,
422017715,422017715,
385287198,385287198,
399734672,399734672,
422800649,422800649,
622035947,622035947,
394065890,394065890,
435396072,435396072,
378566533,378566533,
433465622,433465622,
400813317,400813317,
331150201,331150201,
57808198,57808198,
418883070,418883070,
954509741,954509741,
401799770,401799770,
432207082,432207082,
339592867,339592867,
398621102,398621102,
349217448,349217448,
378852917,378852917,
428805311,428805311,
438672610,438672610,
438800666,438800666,
434223491,434223491,
417936267,417936267,
439571944,439571944,
307419424,307419424,
457506566,457506566,
422495226,422495226,
418195681,418195681,
348685777,348685777,
429604127,429604127,
381442706,381442706,
435401773,435401773,
438422586,438422586,
388103301,388103301,
305362162,305362162,
413695933,413695933,
408423085,408423085,
391997178,391997178,
384843223,384843223,
437948243,437948243,
411357023,411357023,
305035651,305035651,
381585215,381585215,
323377739,323377739,
433961174,433961174,
383686839,383686839,
344154661,344154661,
439551912,439551912,
437838550,437838550,
429934003,429934003,
439763913,439763913,
404384463,404384463,
440779056,440779056,
389319336,389319336,
441852498,441852498,
432270270,432270270,
440890119,440890119,
430351502,430351502,
441561842,441561842,
440568624,440568624,
422230250,422230250,
348798950,348798950,
439891458,439891458,
442739751,442739751,
440355931,440355931,
441744430,441744430,
415065465,415065465,
383615895,383615895,
440441327,440441327,
429469901,429469901,
382632230,382632230,
353037849,353037849,
442436317,442436317,
441260379,441260379,
441716131,441716131,
424875672,424875672,
439061714,439061714,
431741248,431741248,
964503882,964503882,
384402871,384402871,
352483341,352483341,
439320995,439320995,
440649036,440649036,
440357846,440357846,
331928101,331928101,
420022824,420022824,
442797015,442797015,
443793229,443793229,
443388806,443388806,
419059738,419059738,
444278725,444278725,
780094421,780094421,
779186766,779186766,
400786935,400786935,
440080992,440080992,
443828173,443828173,
443176359,443176359,
440092914,440092914,
401304597,401304597,
441974383,441974383,
444272256,444272256,
443943576,443943576,
445029093,445029093,
441087384,441087384,
413826710,413826710,
413631581,413631581,
433722105,433722105,
429584527,429584527,
424980480,424980480,
443237813,443237813,
443143797,443143797,
413683004,413683004,
378111512,378111512,
403553027,403553027,
398168542,398168542,
433988417,433988417,
402430276,402430276,
441510765,441510765,
442529384,442529384,
444284129,444284129,
444409650,444409650,
438998841,438998841,
334510492,334510492,
378347835,378347835,
439965641,439965641,
444896161,444896161,
447865304,447865304,
968502567,968502567,
424482594,424482594,
444259931,444259931,
447773078,447773078,
348915224,348915224,
440080356,440080356,
58801879,58801879,
420686636,420686636,
377679923,377679923,
325002921,325002921,
444023022,444023022,
444633820,444633820,
414238659,414238659,
398710004,398710004,
401359914,401359914,
399025089,399025089,
442857421,442857421,
379891864,379891864,
448368761,448368761,
702020785,702020785,
438468886,438468886,
448271874,448271874,
412241390,412241390,
388751190,388751190,
443191283,443191283,
399888247,399888247,
419416078,419416078,
432253706,432253706,
318032331,318032331,
353933492,353933492,
413557976,413557976,
350162350,350162350,
440376267,440376267,
352294896,352294896,
385370697,385370697,
434159083,434159083,
423899095,423899095,
383730223,383730223,
379604549,379604549,
479049843,479049843,
393896634,393896634,
380464669,380464669,
408184208,408184208,
348023177,348023177,
434439733,434439733,
428702419,428702419,
398768804,398768804,
392805180,392805180,
305109779,305109779,
313387375,313387375,
383154655,383154655,
301653176,301653176,
433395951,433395951,
449165240,449165240,
442408621,442408621,
445323959,445323959,
422755413,422755413,
389441775,389441775,
331055350,331055350,
319029401,319029401,
422257030,422257030,
351596572,351596572,
391998291,391998291,
352036792,352036792,
438618928,438618928,
433063898,433063898,
394192132,394192132,
412663676,412663676,
324768407,324768407,
391071685,391071685,
423528421,423528421,
448218388,448218388,
441971785,441971785,
310850565,310850565,
352807549,352807549,
501655385,501655385,
449472240,449472240,
377970595,377970595,
448838342,448838342,
442677464,442677464,
402653901,402653901,
330347329,330347329,
439914771,439914771,
382851160,382851160,
350042750,350042750,
450242698,450242698,
428681985,428681985,
448884882,448884882,
448870907,448870907,
419836747,419836747,
410492052,410492052,
449836899,449836899,
394147144,394147144,
438030645,438030645,
451187348,451187348,
325423523,325423523,
332070085,332070085,
389887456,389887456,
348326489,348326489,
327025664,327025664,
449283837,449283837,
424847200,424847200,
422932582,422932582,
449886985,449886985,
449388800,449388800,
431449883,431449883,
421700774,421700774,
380171223,380171223,
451088470,451088470,
450259239,450259239,
395325053,395325053,
407950773,407950773,
380549188,380549188,
400297644,400297644,
410622443,410622443,
342989977,342989977,
451015895,451015895,
340452150,340452150,
450265848,450265848,
391401346,391401346,
465202828,465202828,
433515863,433515863,
330183815,330183815,
449892108,449892108,
390207603,390207603,
408264695,408264695,
412515686,412515686,
400669594,400669594,
451953954,451953954,
388102626,388102626,
451336358,451336358,
572031870,572031870,
381210772,381210772,
399664861,399664861,
451206056,451206056,
402282594,402282594,
393736301,393736301,
343243721,343243721,
451239180,451239180,
447657453,447657453,
440569648,440569648,
450059456,450059456,
309217966,309217966,
450381892,450381892,
441350840,441350840,
450378039,450378039,
450374657,450374657,
417968740,417968740,
344208301,344208301,
431235217,431235217,
450865043,450865043,
444719488,444719488,
444751200,444751200,
451250856,451250856,
422505719,422505719,
450173661,450173661,
682021274,682021274,
449826742,449826742,
444956205,444956205,
393497987,393497987,
338422850,338422850,
394021380,394021380,
450005426,450005426,
451383277,451383277,
451707863,451707863,
401844576,401844576,
441546363,441546363,
438690133,438690133,
433166488,433166488,
451766448,451766448,
433287083,433287083,
429248750,429248750,
420337412,420337412,
390378420,390378420,
449909563,449909563,
404734410,404734410,
433912516,433912516,
408760122,408760122,
450846118,450846118,
452750102,452750102,
383150141,383150141,
452837453,452837453,
327548111,327548111,
410039515,410039515,
442512489,442512489,
414539874,414539874,
413158270,413158270,
323261727,323261727,
438603052,438603052,
450577259,450577259,
402859961,402859961,
327876991,327876991,
453165706,453165706,
410240543,410240543,
451623565,451623565,
383396504,383396504,
349501676,349501676,
403644099,403644099,
382155794,382155794,
433006004,433006004,
331500322,331500322,
438262958,438262958,
412518268,412518268,
420624793,420624793,
389026618,389026618,
451220552,451220552,
452735582,452735582,
451302384,451302384,
380873315,380873315,
420577785,420577785,
429388911,429388911,
608122438,608122438,
452381908,452381908,
392370458,392370458,
453448516,453448516,
440611093,440611093,
403623614,403623614,
422526392,422526392,
390050565,390050565,
438661423,438661423,
434372801,434372801,
325731446,325731446,
424264786,424264786,
440192011,440192011,
421572439,421572439,
303147896,303147896,
351761689,351761689,
453360513,453360513,
444541387,444541387,
552091795,552091795,
431974963,431974963,
404400855,404400855,
353227994,353227994,
407900596,407900596,
429970825,429970825,
478123904,478123904,
421612763,421612763,
350890661,350890661,
402496442,402496442,
422005710,422005710,
437634181,437634181,
439541558,439541558,
418680922,418680922,
431843044,431843044,
349440651,349440651,
412010969,412010969,
349315796,349315796,
452076086,452076086,
440532091,440532091,
439561416,439561416,
448465658,448465658,
432147361,432147361,
478523343,478523343,
588505354,588505354,
429223324,429223324,
478038037,478038037,
423560929,423560929,
309823227,309823227,
444760813,444760813,
314490418,314490418,
478193386,478193386,
438791840,438791840,
312800063,312800063,
351445119,351445119,
391199197,391199197,
409058377,409058377,
452747793,452747793,
445267883,445267883,
449892041,449892041,
440538163,440538163,
424164663,424164663,
392419214,392419214,
434301594,434301594,
400232997,400232997,
393810569,393810569,
393780135,393780135,
410365118,410365118,
378162184,378162184,
422517599,422517599,
444088629,444088629,
440619302,440619302,
478724008,478724008,
662026350,662026350,
477506828,477506828,
440417103,440417103,
449307115,449307115,
447655697,447655697,
479036253,479036253,
451980601,451980601,
477760391,477760391,
478555485,478555485,
424236172,424236172,
430149591,430149591,
434430583,434430583,
393531231,393531231,
452235773,452235773,
450195144,450195144,
447991407,447991407,
478992381,478992381,
478141021,478141021,
324844729,324844729,
333396000,333396000,
479101065,479101065,
343804704,343804704,
414729335,414729335,
477762439,477762439,
443516257,443516257,
402365415,402365415,
353821028,353821028,
331250498,331250498,
385203450,385203450,
477890578,477890578,
477764666,477764666,
453409526,453409526,
453180853,453180853,
478972516,478972516,
452960123,452960123,
479235624,479235624,
454090457,454090457,
450507165,450507165,
479431421,479431421,
443385927,443385927,
432696078,432696078,
398018812,398018812,
412435513,412435513,
408889111,408889111,
389509571,389509571,
440751139,440751139,
478967714,478967714,
453844193,453844193,
449068410,449068410,
413211491,413211491,
399928084,399928084,
403191471,403191471,
448438366,448438366,
424884625,424884625,
344154497,344154497,
389157256,389157256,
403319320,403319320,
448134684,448134684,
453165318,453165318,
424041150,424041150,
414691857,414691857,
479260259,479260259,
403188527,403188527,
453025355,453025355,
480177278,480177278,
384541116,384541116,
414628032,414628032,
418166088,418166088,
399720689,399720689,
480280056,480280056,
390162782,390162782,
335074076,335074076,
402269609,402269609,
451384176,451384176,
410831044,410831044,
341046522,341046522,
450370994,450370994,
478601545,478601545,
331812180,331812180,
443114632,443114632,
350425948,350425948,
479356016,479356016,
452302573,452302573,
454035395,454035395,
479239683,479239683,
