orias,siren,nom
410537799,410537799,
344563945,344563945,
380696039,380696039,
493304018,493304018,
493159669,493159669,
493327878,493327878,
493078786,493078786,
493301253,493301253,
493269401,493269401,
382994432,382994432,
417886793,417886793,
353252414,353252414,
353673072,353673072,
440650596,440650596,
442756029,442756029,
445375553,445375553,
445373798,445373798,
447857608,447857608,
414064428,414064428,
451514061,451514061,
442360681,442360681,
429924632,429924632,
451467922,451467922,
453551509,453551509,
453921306,453921306,
452871411,452871411,
482194099,482194099,
485298095,485298095,
487771677,487771677,
440758449,440758449,
444755946,444755946,
444519979,444519979,
449612407,449612407,
480093707,480093707,
480507417,480507417,
339010241,339010241,
488444050,488444050,
344275698,344275698,
493530315,493530315,
493042733,493042733,
493605885,493605885,
492965827,492965827,
490729795,490729795,
417886652,417886652,
383917804,383917804,
438803132,438803132,
343891362,343891362,
485293609,485293609,
441430436,441430436,
382834612,382834612,
412124653,412124653,
393167945,393167945,
352893705,352893705,
317797520,317797520,
480392281,480392281,
401162284,401162284,
380962365,380962365,
412065518,412065518,
477693097,477693097,
488713694,488713694,
493058093,493058093,
401946330,401946330,
493601926,493601926,
480826924,480826924,
491380606,491380606,
481095487,481095487,
490491636,490491636,
398700989,398700989,
400023024,400023024,
424263077,424263077,
448552992,448552992,
328832118,328832118,
309707727,309707727,
353526726,353526726,
572120780,572120780,
492192976,492192976,
421329319,421329319,
492959945,492959945,
775665615,775665615,
389877788,389877788,
432345510,432345510,
479972572,479972572,
482526746,482526746,
434158408,434158408,
383000692,383000692,
326461415,326461415,
449927763,449927763,
338399439,338399439,
352843338,352843338,
397692815,397692815,
481856532,481856532,
489831552,489831552,
484087895,484087895,
482037363,482037363,
403618796,403618796,
440561140,440561140,
542097522,542097522,
404054835,404054835,
448329086,448329086,
481720258,481720258,
489856625,489856625,
421489857,421489857,
483855870,483855870,
484331624,484331624,
482009909,482009909,
404827214,404827214,
487675829,487675829,
399703297,399703297,
489299768,489299768,
57502510,57502510,
492247580,492247580,
422667493,422667493,
440809325,440809325,
479644478,479644478,
478246036,478246036,
422725598,422725598,
491097515,491097515,
491779468,491779468,
429121866,429121866,
438038721,438038721,
387570377,387570377,
316136506,316136506,
433522554,433522554,
404215683,404215683,
477970800,477970800,
419992391,419992391,
387947179,387947179,
484839170,484839170,
443740121,443740121,
449397801,449397801,
478660269,478660269,
432492056,432492056,
719807406,719807406,
385238399,385238399,
451204176,451204176,
315383984,315383984,
412083347,412083347,
349878876,349878876,
342224268,342224268,
347721185,347721185,
427885769,427885769,
483063681,483063681,
394459069,394459069,
489806489,489806489,
775569726,775569726,
403129828,403129828,
392362182,392362182,
493355796,493355796,
455502096,455502096,
479458879,479458879,
384288890,384288890,
418903290,418903290,
384728085,384728085,
452363351,452363351,
399908573,399908573,
855801072,855801072,
445056591,445056591,
441960879,441960879,
391293164,391293164,
440332260,440332260,
417981560,417981560,
353508955,353508955,
351825146,351825146,
452392236,452392236,
480294503,480294503,
482875820,482875820,
492867445,492867445,
382792828,382792828,
493147961,493147961,
489394809,489394809,
489270579,489270579,
397855867,397855867,
491650370,491650370,
387522766,387522766,
485003982,485003982,
322950148,322950148,
450219472,450219472,
343606448,343606448,
381842053,381842053,
582033577,582033577,
445267610,445267610,
443148002,443148002,
479923948,479923948,
488096314,488096314,
602029464,602029464,
421956509,421956509,
404867970,404867970,
438361818,438361818,
489467084,489467084,
491144150,491144150,
488343484,488343484,
437642531,437642531,
422341073,422341073,
492556436,492556436,
481338002,481338002,
480409218,480409218,
420913725,420913725,
478890445,478890445,
477864367,477864367,
353644727,353644727,
390042703,390042703,
722035193,722035193,
491900171,491900171,
323127217,323127217,
350083788,350083788,
491238820,491238820,
863800868,863800868,
337994867,337994867,
398824714,398824714,
408469880,408469880,
448372920,448372920,
494624141,494624141,
448056382,448056382,
492375019,492375019,
492508163,492508163,
449837459,449837459,
379790611,379790611,
392315776,392315776,
422795203,422795203,
478782915,478782915,
481049674,481049674,
329188197,329188197,
431246966,431246966,
448624569,448624569,
409113636,409113636,
412848269,412848269,
482044435,482044435,
494357676,494357676,
493311310,493311310,
431495167,431495167,
439722505,439722505,
432359065,432359065,
388249120,388249120,
562068684,562068684,
493342851,493342851,
407499458,407499458,
410968960,410968960,
444819387,444819387,
489452904,489452904,
417676616,417676616,
410109094,410109094,
421101270,421101270,
451474514,451474514,
493450837,493450837,
433064557,433064557,
442494332,442494332,
351688809,351688809,
388254484,388254484,
429147879,429147879,
487882177,487882177,
397673690,397673690,
392310769,392310769,
445225444,445225444,
411471808,411471808,
428298988,428298988,
487825440,487825440,
490346533,490346533,
421908047,421908047,
483602751,483602751,
493448500,493448500,
478835259,478835259,
390059467,390059467,
340130285,340130285,
421938069,421938069,
393524731,393524731,
480570969,480570969,
417504727,417504727,
494099518,494099518,
394022206,394022206,
451723795,451723795,
389428657,389428657,
395264237,395264237,
397701822,397701822,
453449944,453449944,
480250547,480250547,
441206307,441206307,
424635597,424635597,
452769607,452769607,
432425015,432425015,
429142037,429142037,
415116490,415116490,
444762926,444762926,
493563530,493563530,
391920337,391920337,
442948824,442948824,
485019327,485019327,
399841691,399841691,
421694233,421694233,
433212289,433212289,
479057341,479057341,
384533451,384533451,
487821324,487821324,
425039435,425039435,
451823231,451823231,
483085551,483085551,
488172248,488172248,
388830291,388830291,
489187187,489187187,
422828053,422828053,
487591117,487591117,
387989767,387989767,
492828595,492828595,
431746676,431746676,
417922127,417922127,
399946458,399946458,
413391582,413391582,
480547207,480547207,
387652159,387652159,
345104467,345104467,
482743077,482743077,
477644512,477644512,
451221428,451221428,
417765658,417765658,
480044205,480044205,
390943033,390943033,
389659574,389659574,
413437385,413437385,
432540557,432540557,
444316327,444316327,
404057754,404057754,
434488318,434488318,
481514669,481514669,
398002444,398002444,
434134102,434134102,
424219665,424219665,
352981823,352981823,
440966406,440966406,
394670285,394670285,
398174649,398174649,
441379203,441379203,
330251414,330251414,
438778672,438778672,
415255207,415255207,
353337504,353337504,
451029565,451029565,
399522937,399522937,
449064542,449064542,
477690549,477690549,
437651235,437651235,
490248671,490248671,
403009038,403009038,
483670873,483670873,
479841611,479841611,
384028775,384028775,
490854767,490854767,
483348942,483348942,
440252187,440252187,
452068299,452068299,
432647204,432647204,
329676217,329676217,
478315831,478315831,
488063462,488063462,
422843573,422843573,
439383753,439383753,
392200952,392200952,
504751496,504751496,
389999145,389999145,
429761463,429761463,
480167766,480167766,
480545193,480545193,
483377693,483377693,
487739815,487739815,
490545555,490545555,
490839081,490839081,
334235181,334235181,
352551725,352551725,
411079775,411079775,
490601788,490601788,
491869327,491869327,
440667590,440667590,
384416137,384416137,
391845740,391845740,
398413492,398413492,
493579627,493579627,
493451389,493451389,
304686363,304686363,
401939327,401939327,
440649242,440649242,
451902894,451902894,
480120914,480120914,
484267539,484267539,
430292797,430292797,
438706004,438706004,
401362959,401362959,
339310526,339310526,
440704070,440704070,
487496911,487496911,
309926699,309926699,
403909781,403909781,
393735105,393735105,
438359317,438359317,
433226909,433226909,
438689846,438689846,
407522788,407522788,
305944233,305944233,
479581399,479581399,
477925887,477925887,
451067193,451067193,
408975142,408975142,
409051257,409051257,
411975089,411975089,
382655173,382655173,
423572775,423572775,
432308062,432308062,
450305529,450305529,
394434765,394434765,
451371314,451371314,
451459259,451459259,
341575132,341575132,
348537895,348537895,
433196003,433196003,
344945571,344945571,
403001761,403001761,
384242301,384242301,
489932905,489932905,
442511739,442511739,
477484620,477484620,
451408819,451408819,
400239521,400239521,
392473757,392473757,
412379067,412379067,
422120550,422120550,
384790127,384790127,
382783173,382783173,
391093861,391093861,
492760541,492760541,
403399918,403399918,
424105252,424105252,
424759215,424759215,
438493256,438493256,
422495093,422495093,
400801403,400801403,
419354147,419354147,
533533550,533533550,
415358035,415358035,
439928870,439928870,
450202668,450202668,
451969059,451969059,
481158624,481158624,
489954909,489954909,
488388695,488388695,
488214842,488214842,
488690660,488690660,
490841160,490841160,
410588545,410588545,
429107782,429107782,
451495162,451495162,
422122994,422122994,
501561146,501561146,
379294465,379294465,
444722847,444722847,
388583171,388583171,
477876221,477876221,
481226173,481226173,
481607646,481607646,
489833954,489833954,
493537252,493537252,
493797815,493797815,
414918789,414918789,
432736528,432736528,
418379202,418379202,
438456204,438456204,
418699898,418699898,
493055537,493055537,
478061468,478061468,
478444698,478444698,
481204873,481204873,
383057494,383057494,
342213725,342213725,
378262570,378262570,
437945173,437945173,
478250764,478250764,
410736516,410736516,
479914749,479914749,
421341967,421341967,
401652532,401652532,
417752854,417752854,
478456239,478456239,
482062312,482062312,
337792998,337792998,
315142851,315142851,
432124121,432124121,
434946273,434946273,
434323994,434323994,
439335241,439335241,
384404729,384404729,
393190244,393190244,
398178541,398178541,
353246135,353246135,
401022173,401022173,
347905754,347905754,
439597352,439597352,
439699893,439699893,
440206514,440206514,
443674775,443674775,
450022314,450022314,
449522556,449522556,
393059944,393059944,
450327804,450327804,
484043393,484043393,
343278669,343278669,
377734975,377734975,
381565696,381565696,
392233151,392233151,
403134976,403134976,
403943293,403943293,
408635258,408635258,
412035669,412035669,
414246652,414246652,
414271403,414271403,
