orias,siren,nom
487669194,487669194,
920746781,920746781,
911462422,911462422,
919197178,919197178,
920872926,920872926,
915260970,915260970,
920996444,920996444,
919563064,919563064,
948164074,948164074,
922497862,922497862,
921282463,921282463,
921914552,921914552,
920482056,920482056,
920990223,920990223,
823322730,823322730,
511772980,511772980,
920229358,920229358,
918953761,918953761,
948187752,948187752,
919624262,919624262,
922652110,922652110,
917948143,917948143,
903518108,903518108,
947790051,947790051,
922385182,922385182,
919301713,919301713,
900545880,900545880,
921413886,921413886,
920203593,920203593,
951703412,951703412,
913222527,913222527,
921447678,921447678,
914486444,914486444,
921045571,921045571,
918661547,918661547,
378183958,378183958,
948995956,948995956,
537704603,537704603,
921355095,921355095,
947606216,947606216,
334574068,334574068,
921329066,921329066,
921917126,921917126,
922201819,922201819,
921792271,921792271,
802306506,802306506,
949208284,949208284,
949658686,949658686,
843565557,843565557,
895064723,895064723,
921717658,921717658,
948540943,948540943,
911881126,911881126,
947972436,947972436,
921419313,921419313,
919740043,919740043,
803030964,803030964,
921248167,921248167,
922329990,922329990,
948377585,948377585,
914402623,914402623,
921703815,921703815,
891602773,891602773,
922164942,922164942,
948989355,948989355,
518974779,518974779,
921373981,921373981,
922565122,922565122,
947963062,947963062,
824242523,824242523,
900658741,900658741,
948877709,948877709,
949056030,949056030,
879277093,879277093,
521005140,521005140,
947816310,947816310,
919209254,919209254,
951616689,951616689,
920923455,920923455,
488282302,488282302,
948216171,948216171,
919372821,919372821,
920651114,920651114,
910502483,910502483,
844590737,844590737,
949647697,949647697,
920454006,920454006,
922095021,922095021,
948041298,948041298,
948644687,948644687,
947994778,947994778,
950706382,950706382,
948006457,948006457,
951854447,951854447,
921892519,921892519,
922496872,922496872,
914649280,914649280,
948534730,948534730,
921786000,921786000,
948006846,948006846,
904078607,904078607,
921580528,921580528,
948536271,948536271,
884396516,884396516,
922630876,922630876,
922372867,922372867,
921248548,921248548,
533653069,533653069,
948224654,948224654,
921279212,921279212,
921610838,921610838,
948312582,948312582,
922155122,922155122,
948053400,948053400,
918338476,918338476,
921761193,921761193,
911797223,911797223,
842009409,842009409,
951741099,951741099,
528273881,528273881,
905327409,905327409,
921514923,921514923,
921809505,921809505,
948309604,948309604,
948410329,948410329,
922248968,922248968,
909921876,909921876,
919819417,919819417,
948779038,948779038,
952359024,952359024,
911053643,911053643,
910687656,910687656,
902044940,902044940,
951309756,951309756,
948275896,948275896,
949228746,949228746,
947752853,947752853,
949521355,949521355,
948071030,948071030,
948519582,948519582,
948445358,948445358,
951073220,951073220,
909730657,909730657,
919550244,919550244,
948042239,948042239,
914418470,914418470,
947884912,947884912,
948838677,948838677,
919459008,919459008,
952277069,952277069,
801181181,801181181,
949698450,949698450,
453223752,453223752,
792466765,792466765,
950921049,950921049,
949542518,949542518,
948664032,948664032,
920516077,920516077,
949405542,949405542,
947758470,947758470,
951175603,951175603,
921981668,921981668,
948860549,948860549,
921891735,921891735,
953854652,953854652,
891025504,891025504,
948308770,948308770,
902018050,902018050,
951586072,951586072,
921349767,921349767,
949909030,949909030,
948652581,948652581,
919981365,919981365,
537653941,537653941,
948225875,948225875,
922258181,922258181,
949688741,949688741,
948497557,948497557,
921846309,921846309,
949416580,949416580,
950954339,950954339,
922096664,922096664,
922291448,922291448,
951534858,951534858,
948945928,948945928,
977482280,977482280,
921510269,921510269,
510137342,510137342,
922301510,922301510,
948520895,948520895,
949833917,949833917,
948329578,948329578,
920814589,920814589,
440303014,440303014,
948887898,948887898,
919433425,919433425,
922535166,922535166,
948463427,948463427,
890155682,890155682,
952985687,952985687,
953097680,953097680,
921850475,921850475,
449327139,449327139,
949212534,949212534,
948266291,948266291,
948476858,948476858,
538472036,538472036,
883237877,883237877,
900304502,900304502,
505250670,505250670,
953096161,953096161,
893036996,893036996,
952680874,952680874,
752368704,752368704,
920294295,920294295,
921934808,921934808,
901235556,901235556,
920645140,920645140,
920854056,920854056,
921174447,921174447,
952566081,952566081,
949571996,949571996,
949540488,949540488,
952479491,952479491,
949485510,949485510,
953320843,953320843,
948290721,948290721,
948359971,948359971,
